InstanceID,SessionID,WeekStart,Day,Date,Time,DurationMin,Venue,Address,City,Latitude,Longitude,Coach,Program,Type,Capacity,BookedCount,Status,SpaceOrFull,ClientName,Notes,VenueKey,Timezone,Title,StartISO,EndISO
AUCKLAND-THEYAKL-0800-MON-20260301,AUCKLAND-THEYAKL-0800-MON,1/03/2026,Monday,1/03/2026,8:00:00,30,The Y Akl,"149 Greys Avenue, Auckland CBD",Auckland,-36.858849,174.715958,Awat Kakai,FAM Program,APPOINTMENT,10,0,Available,Space,,,Auckland|The Y Akl,Pacific/Auckland,FAM 1:1 • The Y Akl,2026-01-26T08:00:00+13:00,2026-01-26T08:30:00+13:00
AUCKLAND-THEYAKL-0830-MON-20260301,AUCKLAND-THEYAKL-0830-MON,1/03/2026,Monday,1/03/2026,8:30:00,30,The Y Akl,"149 Greys Avenue, Auckland CBD",Auckland,-36.858849,174.715958,,FAM Program,APPOINTMENT,10,0,Available,Space,,,Auckland|The Y Akl,Pacific/Auckland,FAM 1:1 • The Y Akl,2026-01-26T08:30:00+13:00,2026-01-26T09:00:00+13:00
AUCKLAND-THEYAKL-0900-MON-20260301,AUCKLAND-THEYAKL-0900-MON,1/03/2026,Monday,1/03/2026,9:00:00,0,The Y Akl,"149 Greys Avenue, Auckland CBD",Auckland,-36.858849,174.715958,,FAM Program,APPOINTMENT,10,0,Available,Space,,,Auckland|The Y Akl,Pacific/Auckland,FAM 1:1 • The Y Akl,2026-01-26T09:00:00+13:00,2026-01-26T09:00:00+13:00
AUCKLAND-THEYAKL-0930-MON-20260301,AUCKLAND-THEYAKL-0930-MON,1/03/2026,Monday,1/03/2026,9:30:00,0,The Y Akl,"149 Greys Avenue, Auckland CBD",Auckland,-36.858849,174.715958,,FAM Program,APPOINTMENT,10,0,Available,Space,,,Auckland|The Y Akl,Pacific/Auckland,FAM 1:1 • The Y Akl,2026-01-26T09:30:00+13:00,2026-01-26T09:30:00+13:00
AUCKLAND-THEYAKL-1000-MON-20260301,AUCKLAND-THEYAKL-1000-MON,1/03/2026,Monday,1/03/2026,10:00:00,0,The Y Akl,"149 Greys Avenue, Auckland CBD",Auckland,-36.858849,174.715958,,FAM Program,APPOINTMENT,10,0,Available,Space,,,Auckland|The Y Akl,Pacific/Auckland,FAM 1:1 • The Y Akl,2026-01-26T10:00:00+13:00,2026-01-26T10:00:00+13:00
AUCKLAND-THEYAKL-1030-MON-20260301,AUCKLAND-THEYAKL-1030-MON,1/03/2026,Monday,1/03/2026,10:30:00,0,The Y Akl,"149 Greys Avenue, Auckland CBD",Auckland,-36.858849,174.715958,Havanna,FAM Program,APPOINTMENT,10,0,Available,Space,,,Auckland|The Y Akl,Pacific/Auckland,FAM 1:1 • The Y Akl • Havanna,2026-01-26T10:30:00+13:00,2026-01-26T10:30:00+13:00
AUCKLAND-THEYAKL-1100-MON-20260301,AUCKLAND-THEYAKL-1100-MON,1/03/2026,Monday,1/03/2026,11:00:00,0,The Y Akl,"149 Greys Avenue, Auckland CBD",Auckland,-36.858849,174.715958,,FAM Program,APPOINTMENT,10,0,Available,Space,,,Auckland|The Y Akl,Pacific/Auckland,FAM 1:1 • The Y Akl,2026-01-26T11:00:00+13:00,2026-01-26T11:00:00+13:00
AUCKLAND-THEYAKL-1130-MON-20260301,AUCKLAND-THEYAKL-1130-MON,1/03/2026,Monday,1/03/2026,11:30:00,30,The Y Akl,"149 Greys Avenue, Auckland CBD",Auckland,-36.858849,174.715958,,FAM Program,APPOINTMENT,10,0,Available,Space,,,Auckland|The Y Akl,Pacific/Auckland,FAM 1:1 • The Y Akl,2026-01-26T11:30:00+13:00,2026-01-26T12:00:00+13:00
AUCKLAND-THEYAKL-1200-MON-20260301,AUCKLAND-THEYAKL-1200-MON,1/03/2026,Monday,1/03/2026,12:00:00,30,The Y Akl,"149 Greys Avenue, Auckland CBD",Auckland,-36.858849,174.715958,Awat,FAM Program,APPOINTMENT,10,0,Available,Space,,,Auckland|The Y Akl,Pacific/Auckland,FAM 1:1 • The Y Akl • Awat,2026-01-26T12:00:00+13:00,2026-01-26T12:30:00+13:00
AUCKLAND-THEYAKL-1230-MON-20260301,AUCKLAND-THEYAKL-1230-MON,1/03/2026,Monday,1/03/2026,12:30:00,0,The Y Akl,"149 Greys Avenue, Auckland CBD",Auckland,-36.858849,174.715958,,FAM Program,APPOINTMENT,10,0,Available,Space,,,Auckland|The Y Akl,Pacific/Auckland,FAM 1:1 • The Y Akl,2026-01-26T12:30:00+13:00,2026-01-26T12:30:00+13:00
